city_name,month,median_contract_rent_per_sqm,weighted_median_contract_rent_per_sqm,pct_income_region_bedrooms_category
Rio de Janeiro,2019-07-01,29.21791047407765,31.67997784286111,0.5256798341
Rio de Janeiro,2019-08-01,29.45528713682479,31.955177173032236,0.5256798341
Rio de Janeiro,2019-09-01,29.25532737656765,31.669299134403893,0.5256798341
Rio de Janeiro,2019-10-01,28.848893001662557,31.076674632772587,0.5256798341
Rio de Janeiro,2019-11-01,28.07908805600426,30.241193089887204,0.5256798341
Rio de Janeiro,2019-12-01,27.532982007957372,29.81398904386109,0.5256798341
Rio de Janeiro,2020-01-01,27.798510550251894,30.282173872594132,0.5256798341
Rio de Janeiro,2020-02-01,27.727937333268766,30.207835391661074,0.5256798341
Rio de Janeiro,2020-03-01,27.865330602735085,30.373082007757564,0.5256798341
Rio de Janeiro,2020-04-01,27.620180240839236,30.12379455225383,0.5256798341
Rio de Janeiro,2020-05-01,27.5512710245438,29.80518068385657,0.5256798341
Rio de Janeiro,2020-06-01,26.986375415337754,29.03874590774224,0.5256798341
Rio de Janeiro,2020-07-01,26.617909816249437,28.45586435283596,0.5256798341
Rio de Janeiro,2020-08-01,26.43591402731757,28.36478195155058,0.5256798341
Rio de Janeiro,2020-09-01,26.879970523157706,28.835446979999595,0.5256798341
Rio de Janeiro,2020-10-01,27.171392301108718,29.26801348867976,0.5256798341
Rio de Janeiro,2020-11-01,27.048673548356227,29.083665965773143,0.5256798341
Rio de Janeiro,2020-12-01,27.028818095624118,29.065665271374776,0.5256798341
Rio de Janeiro,2021-01-01,27.00187440540235,28.939814329663708,0.5256798341
Rio de Janeiro,2021-02-01,27.196526065518565,29.253068142621295,0.5256798341
Rio de Janeiro,2021-03-01,27.60170223063277,29.718537458221505,0.5256798341
Rio de Janeiro,2021-04-01,27.807305365271304,29.810579616992428,0.5256798341
Rio de Janeiro,2021-05-01,28.13545487119797,29.955019987973024,0.5256798341
Rio de Janeiro,2021-06-01,27.932132528997307,29.53281705241762,0.5256798341
Rio de Janeiro,2021-07-01,27.73171535901338,29.496057266036395,0.5256798341
Rio de Janeiro,2021-08-01,27.63442832721502,29.42530245102094,0.5256798341
Rio de Janeiro,2021-09-01,27.81129961226524,29.668232582757593,0.5256798341
Rio de Janeiro,2021-10-01,28.22469160961445,30.028006157996824,0.5256798341
Rio de Janeiro,2021-11-01,28.68624991874277,30.668853671575683,0.5256798341
Rio de Janeiro,2021-12-01,28.87768448378136,30.913215542549107,0.5256798341
Rio de Janeiro,2022-01-01,29.11423214481068,31.188051513851914,0.5256798341
Rio de Janeiro,2022-02-01,29.43873268933279,31.559026421628207,0.5256798341
Rio de Janeiro,2022-03-01,30.22756179775585,32.40618990771237,0.5256798341
Rio de Janeiro,2022-04-01,30.77395819561628,33.10991088892074,0.5256798341
Rio de Janeiro,2022-05-01,31.453746082280905,33.66830698821008,0.5256798341
Rio de Janeiro,2022-06-01,31.630074672611343,33.85640744084718,0.5256798341
Rio de Janeiro,2022-07-01,32.19093851593118,34.361615558964374,0.5256798341
Rio de Janeiro,2022-08-01,32.29871789326807,34.70703138148319,0.5256798341
Rio de Janeiro,2022-09-01,32.56656041999844,34.94092830628919,0.5256798341
Rio de Janeiro,2022-10-01,32.943103084021296,35.21842365470972,0.5256798341
Rio de Janeiro,2022-11-01,33.50749015262112,35.707090407553586,0.5256798341
Rio de Janeiro,2022-12-01,33.8785125694014,36.2048860154094,0.5256798341
